n,wr,neto,pf,sharpe,maxdd,t,p,kokku_r,paar,periood,bruto,kulu,piisav
33,39.39393939393939,-0.19715282671452591,0.6954699753734012,-0.5186407004317791,-8.637568491798643,-0.957153679036907,0.3384896930650618,-6.506043281579355,EURCHF,VALID_2014_2017,-0.07703728816507732,0.12011553854944867,True
65,53.84615384615385,0.24081014740256315,1.5205287136587469,0.5257691753317331,-7.922152783625114,1.5108302686765773,0.13083170069431604,15.652659581166604,EURCHF,OOS_2018_2026,0.32459731498432937,0.08378716758176626,True
175,45.14285714285714,0.08525211685586018,1.1502980978807653,0.18835071136051562,-11.894879691511628,0.8491059472617618,0.39582234139572936,14.91912044977553,EURCHF,ALL_2006_2026,0.1980434462436756,0.11279132938781541,True
33,42.42424242424242,0.26172452625732784,1.4655665669901445,0.49477037354285225,-5.85269985507505,1.0195639545917992,0.30793530733233454,8.63690936649182,EURAUD,2006-2010,0.3131583187772923,0.05143379251996442,True
35,37.142857142857146,-0.08948263471180273,0.8573721144175149,-0.18876771563426734,-8.406655966907117,-0.41893648991419,0.6752625481637518,-3.131892214913096,EURAUD,2011-2015,-0.052668556820442115,0.03681407789136061,True
37,40.54054054054054,0.10422725944231226,1.1833120166677984,0.21187494326556333,-8.678075241701254,0.4621781107811149,0.6439535990624059,3.8564085993655537,EURAUD,2016-2020,0.15539335639733293,0.051166096955020654,True
48,37.5,-0.1426661562414946,0.7667017719130115,-0.36021702477436995,-6.976469608348879,-0.8380548758756146,0.4019998843106922,-6.84797549959174,EURAUD,2021-2026,-0.09006972116485117,0.052596435076643466,True
54,38.88888888888889,0.08790239071673879,1.1472371644882118,0.17274557774333288,-5.85269985507505,0.4647747772817003,0.6420927521247211,4.746729098703895,EURAUD,TRAIN_2006_2013,0.13456252048314596,0.04666012976640718,True
28,35.714285714285715,-0.12192757142773802,0.8187803086765834,-0.25352852627984507,-8.678075241701233,-0.4931576122492518,0.6219012256711809,-3.4139719999766647,EURAUD,VALID_2014_2017,-0.0835356376471731,0.0383919337805649,False
71,40.845070422535215,0.016629481022891617,1.0296487877776623,0.037942343618362115,-7.961064731802969,0.11103564321559724,0.9115880822782598,1.1806931526253048,EURAUD,OOS_2018_2026,0.07027682182752948,0.053647340804637914,True
153,39.21568627450981,0.016427779420604787,1.027650667842985,0.03465206996936856,-9.863115904788488,0.15510659817483788,0.876737280549545,2.5134502513525323,EURAUD,ALL_2006_2026,0.06481720654721329,0.04838942712660848,True
45,40.0,0.1276799093235156,1.2116734267563944,0.2846392493504708,-6.149850155801984,0.595557783591307,0.5514706862189465,5.745595919558203,GBPAUD,2006-2010,0.18752526299889935,0.05984535367538367,True
36,41.66666666666667,0.05610245782870996,1.0930265498558018,0.11236092821174065,-4.7676530941662465,0.24495993965135265,0.8064874499919319,2.0196884818335588,GBPAUD,2011-2015,0.10476001567335663,0.04865755784464659,True
38,39.473684210526315,0.09148346982552333,1.1502482881907494,0.1821318036631803,-4.870011696067533,0.3964963649533451,0.6917388889535747,3.4763718533698866,GBPAUD,2016-2020,0.14247869420416825,0.050995224378644885,True
40,37.5,-0.022462211055245773,0.9644570703555941,-0.045486182103853745,-5.677915773445474,-0.10526131679661607,0.9161684571278035,-0.8984884422098309,GBPAUD,2021-2026,0.04227901682736792,0.06474122788261369,True
64,40.625,0.10781211370219433,1.1798247403872053,0.22755537124887865,-6.158960599744201,0.6124729302324944,0.5402249025785544,6.899975276940437,GBPAUD,TRAIN_2006_2013,0.165045473958864,0.057233360256669676,True
30,40.0,0.0064588447338171096,1.0107316115934784,0.013272077341263245,-4.267529692818162,0.026352695117119025,0.9789760248595363,0.1937653420145133,GBPAUD,VALID_2014_2017,0.052451525849466586,0.04599268111564947,True
65,38.46153846153847,0.049991187593797955,1.0795552401727218,0.10005184871406221,-7.061853601513224,0.28717134305896663,0.7739811275261363,3.2494271935968673,GBPAUD,OOS_2018_2026,0.11044449758758645,0.0604533099937885,True
159,39.62264150943396,0.06505136989026301,1.1063334749536549,0.1326401659131233,-7.061853601513269,0.5918434958719991,0.5539553938002681,10.343167812551819,GBPAUD,ALL_2006_2026,0.12148017894367556,0.05642880905341255,True
44,31.818181818181817,-0.11631316894896417,0.839170912069796,-0.26057109852621796,-8.517886279015796,-0.5507965467974394,0.5817731516344811,-5.117779433754423,AUDCAD,2006-2010,-0.051840959445010104,0.06447220950395406,True
36,44.44444444444444,0.1268250752190232,1.2363553571933157,0.26094927256078415,-5.9422816891319785,0.5679159025443615,0.5700920732325847,4.565702707884835,AUDCAD,2011-2015,0.18232830413820375,0.055503228919180504,True
46,43.47826086956522,0.14871504151951995,1.256740138096591,0.32696568072115745,-8.902725090820962,0.7163050549406016,0.47380300618741433,6.840891909897917,AUDCAD,2016-2020,0.21129738356733316,0.06258234204781327,True
43,41.86046511627907,0.02846125791311818,1.0524201490939018,0.06326917200302591,-7.149718856182807,0.14948776594252058,0.8811687622645079,1.2238340902640816,AUDCAD,2021-2026,0.08508151314197825,0.05662025522886007,True
64,40.625,0.08542716991587238,1.1384584256141554,0.17679902053646,-8.517886279015796,0.48220261540528214,0.629662019095619,5.467338874615832,AUDCAD,TRAIN_2006_2013,0.14773469675847492,0.06230752684260256,True
33,27.27272727272727,-0.30546128488983254,0.5868062337552752,-0.7655335813986672,-9.718972033370644,-1.4364470392043307,0.15087517620067614,-10.080222401364473,AUDCAD,VALID_2014_2017,-0.24881065263294344,0.05665063225688904,True
72,45.83333333333333,0.16841017779223685,1.3255431926553216,0.36920696469923014,-7.149718856182807,1.0802859138877758,0.2800148803796354,12.125532801041054,AUDCAD,OOS_2018_2026,0.22801017204086133,0.05959999424862453,True
169,40.23668639053255,0.04445354600173025,1.0742869206798755,0.0958854563481223,-10.501854656433373,0.4297509909274332,0.6673767868594749,7.5126492742924125,AUDCAD,ALL_2006_2026,0.10450296711596024,0.060049421114229985,True
