n,wr,neto,pf,sharpe,maxdd,t,p,kokku_r,tase,paar,rezhiim
115,40.869565217391305,0.03394725965858185,1.0551413330323218,0.05923813920946648,-17.40317045270733,0.2690592479823635,0.787884089771016,3.903934860736913,PAAR,EURJPY,LOW_VOLATILITY
102,53.92156862745098,0.45856530225385556,1.9872325750676088,0.7233565328099261,-9.624276478657922,3.269526924230837,0.001077274845617593,46.77366082989327,PAAR,GBPJPY,LOW_VOLATILITY
94,40.42553191489361,0.07821427004461562,1.12982140309603,0.12395136482892706,-8.544963298649389,0.5504054928627178,0.5820412820245586,7.352141384193868,PAAR,AUDJPY,LOW_VOLATILITY
94,51.06382978723404,0.22157702454761832,1.4234385722079497,0.3527549324879535,-6.852207950270605,1.5902584542307865,0.11177655925020025,20.828240307476122,PAAR,EURCHF,LOW_VOLATILITY
86,39.53488372093023,0.0596527843372993,1.101238697909028,0.09306109446412945,-12.807738160294624,0.41283554016715224,0.679727110690713,5.1301394530077395,PAAR,EURAUD,LOW_VOLATILITY
80,38.75,0.06718398336660544,1.108442493144065,0.0975764532819986,-5.373084485978408,0.43150938034834835,0.6660980335167204,5.374718669328436,PAAR,GBPAUD,LOW_VOLATILITY
83,43.373493975903614,0.0951289101197367,1.1584207919657463,0.14012831618784852,-8.90272509082094,0.6197719370526329,0.535407946881288,7.895699539938146,PAAR,AUDCAD,LOW_VOLATILITY
1065,38.028169014084504,-0.009896751146259805,0.9837216004022201,-0.054608594667044465,-42.78290420097852,-0.2472736293660594,0.8046964659169589,-10.540039970766692,KOIK PAARID,-,TRENDING
379,36.93931398416886,-0.05223301935379369,0.9147263076146226,-0.2737330319741144,-26.515684370606873,-0.8010607773815076,0.4230964614946875,-19.796314335087807,KOIK PAARID OOS,-,TRENDING
90,31.11111111111111,-0.18533139995149264,0.7221930993928556,-0.3273118296126701,-18.721201178580095,-1.436783132006975,0.15077962478177165,-16.67982599563434,PAAR,EURUSD,TRENDING
78,28.205128205128204,-0.23799390256692582,0.6453664496543404,-0.4122078330464812,-18.56039000203966,-1.7699364940295956,0.07673772054955696,-18.563524400220214,PAAR,GBPUSD,TRENDING
73,36.986301369863014,-0.06010891520860336,0.8963007235476306,-0.09368542047709792,-13.513963905071202,-0.4191746297298851,0.6750885120502765,-4.387950810228046,PAAR,USDJPY,TRENDING
56,39.285714285714285,0.13660636268863693,1.2475403275673602,0.1694828092850543,-8.83223877882161,0.7503376227566724,0.45305138880025764,7.6499563105636685,PAAR,AUDUSD,TRENDING
65,33.84615384615385,-0.12254740170460698,0.8017628546440841,-0.18266509452192406,-14.87393156115635,-0.8115739265380348,0.4170361574302994,-7.965581110799454,PAAR,NZDUSD,TRENDING
51,37.254901960784316,-0.1276603990134011,0.7893975743779,-0.173044324440254,-11.302852154663778,-0.7560333207869724,0.4496292181480406,-6.510680349683456,PAAR,USDCAD,TRENDING
63,44.44444444444444,0.10945249885634645,1.2046149379650601,0.14832833307667362,-4.715122856974685,0.6621174433697028,0.5078959575324624,6.895507427949826,PAAR,USDCHF,TRENDING
51,33.33333333333333,-0.21197208733340056,0.688731439023288,-0.28822292175112346,-16.69865247983938,-1.218307558947727,0.22310711865032928,-10.810576454003428,PAAR,EURGBP,TRENDING
84,47.61904761904761,0.16121079163728363,1.2938801017910881,0.2434677791906639,-12.468263719505213,1.0940995415009258,0.2739113235153492,13.541706497531825,PAAR,EURJPY,TRENDING
