rada,paar,strateegia,variant,n,oodatav,pf,sharpe,maxdd,neto_r,t
B_D1,AUDJPY,MOMENTUM,spread+25%,74,0.07688634990066484,1.1359069635889243,0.1715041454149613,-10.255265303064709,5.689589892649198,0.5008509882117204
B_D1,AUDJPY,MOMENTUM,spread+50%,74,0.06833763335719398,1.1197125150534626,0.15242903473527106,-10.643322841746983,5.056984868432354,0.44514511584895605
B_D1,AUDJPY,MOMENTUM,slip 2x,74,0.07973592208182176,1.1413704505322857,0.17786274865138219,-10.125546147172049,5.900458234054811,0.5194202928014263
B_D1,AUDJPY,MOMENTUM,spread+50% & slip 2x,74,0.06263848899488006,1.109076646904623,0.13971293619946548,-10.901113798503403,4.6352481856211245,0.4080097422260848
B_D1,AUDJPY,MOMENTUM,SL 1.25xATR,77,0.12761892091264201,1.2201451198971813,0.27760859374060654,-11.90841762759841,9.826656910273435,0.8107124068321179
B_D1,AUDJPY,MOMENTUM,SL 1.75xATR,69,-0.0043984879812124416,0.9922042472858547,-0.010080630735378496,-11.5704913647512,-0.30349567070365846,-0.02943890279384067
B_D1,AUDJPY,MOMENTUM,MC maxDD 5% kvantiil,74,0.08543506644413568,,,-13.317384065258045,6.32219491686604,
B_D1,GBPAUD,BREAKOUT_RETEST,baseline,30,0.07803716736515952,1.1404225616301202,0.11926980491867517,-5.687157738787995,2.3411150209547857,0.3274451048402684
B_D1,GBPAUD,BREAKOUT_RETEST,spread+25%,30,0.0661519734497196,1.117658043413863,0.10113640099609866,-5.82289107732441,1.984559203491588,0.27766138671825374
B_D1,GBPAUD,BREAKOUT_RETEST,spread+50%,30,0.05426677953427968,1.095414523811838,0.08299123419397385,-5.958446559610953,1.6280033860283902,0.22784537461093796
B_D1,GBPAUD,BREAKOUT_RETEST,slip 2x,30,0.07155433432037411,1.1279398718693563,0.10938033167976235,-5.7612161662129235,2.1466300296112233,0.30029439721784157
B_D1,GBPAUD,BREAKOUT_RETEST,spread+50% & slip 2x,30,0.04778394648949422,1.0834949326838434,0.07308900883779897,-6.0323110246389255,1.4335183946848264,0.200659657135207
B_D1,GBPAUD,BREAKOUT_RETEST,SL 1.25xATR,31,-0.03809060421082253,0.9415385096636031,-0.057029015362580024,-5.149785116569195,-1.1808087305354986,-0.15656831104125796
B_D1,GBPAUD,BREAKOUT_RETEST,SL 1.75xATR,30,0.019808850147320277,1.0373334302578752,0.032332117515576235,-4.596162369973589,0.5942655044196083,0.08876507861159448
B_D1,GBPAUD,BREAKOUT_RETEST,MC maxDD 5% kvantiil,30,0.07803716736515952,,,-8.668087971618222,2.3411150209547857,
