rada,paar,strateegia,ulatus,algus,lopp,aastaid,n,wr,bruto_r,neto_r,oodatav,pf,sharpe,maxdd,avg_win,avg_loss,avg_r,kokku,aastane,teh_aastas,t,p
A_H1,AUDCAD,TREND_PULLBACK,ALL_TRENDING,2023-11-27,2026-09-11,2.79,209,29.665071770334926,-44.99322862200282,-79.46936813228662,-0.3802362111592661,0.5162098221648295,-2.7146992743980625,-55.22588705401793,1.3676572983755872,-1.1174429974936941,-0.3802362111592661,-55.580568182711346,-25.260170961155325,74.98747544204322,-4.532110640299978,5.83972477663508e-06
A_H1,AUDJPY,BREAKOUT_RETEST,ALL,2023-11-29,2026-09-10,2.78,545,35.96330275229358,32.38487367960882,-55.500625857242625,-0.10183601074723417,0.8613570591831048,-1.009687426785897,-52.554076481243925,1.7592488047155317,-1.1470297753051202,-0.10183601074723417,-45.62723982415059,-19.671413119542336,195.92642716535434,-1.6839868268919838,0.09218421459925574
A_H1,AUDJPY,BREAKOUT_RETEST,TRAIN,2023-11-29,2024-10-30,0.92,177,38.4180790960452,21.55976111744509,-6.822184822868099,-0.03854341707835084,0.9456514013012762,-0.373096869624338,-14.04947030196203,1.7456504621658437,-1.1516184977077568,-0.03854341707835084,-8.261836314486292,-8.947916055290738,192.40848214285714,-0.3578459708087601,0.7204585857558483
A_H1,AUDJPY,BREAKOUT_RETEST,VALID,2024-11-05,2025-08-29,0.81,149,30.201342281879196,-14.361102116241032,-34.235381332714624,-0.22976765995110485,0.7015025118985583,-2.306492917282154,-32.97650238912018,1.7879328569121729,-1.1028111528246383,-0.22976765995110485,-29.964170921090915,-35.46799100792475,183.239898989899,-2.0798654358814033,0.03753787710790535
A_H1,AUDJPY,BREAKOUT_RETEST,OOS,2025-09-01,2026-09-10,1.02,217,37.78801843317972,24.186214678404745,-15.176247151682047,-0.06993662281881127,0.9045394528506163,-0.708920994525231,-23.09942008346273,1.7536952794911314,-1.177624148666332,-0.06993662281881127,-15.971349980871373,-15.628559852928648,211.923128342246,-0.7173622631364467,0.47315059807039206
A_H1,AUDJPY,BREAKOUT_RETEST,OOS_HIGH_VOLATILITY,2025-09-08,2026-09-10,1.0,88,42.04545454545455,19.321035058358998,5.814582967949021,0.06607480645396614,1.1004353166548704,0.4294583169083902,-10.183060682858969,1.7218484123733706,-1.135172711565994,0.06607480645396614,5.037836041610544,5.01322135611264,87.58038147138966,0.4304859062148564,0.6668422167306061
A_H1,AUDJPY,BREAKOUT_RETEST,ALL_HIGH_VOLATILITY,2023-12-07,2026-09-10,2.76,228,37.280701754385966,18.32251910677344,-12.764824184689093,-0.05598607098547848,0.919726322789064,-0.36331219390644465,-22.609938862789136,1.7206057513038735,-1.112002189129499,-0.05598607098547848,-13.918905309193674,-5.291199823308778,82.69811320754717,-0.6032531486669559,0.5463402955020795
A_H1,AUDJPY,BREAKOUT_RETEST,OOS_LOW_VOLATILITY,2025-09-01,2026-09-02,1.0,129,34.883720930232556,4.865179620045748,-20.990830119631056,-0.1627196133304733,0.7923456862487346,-1.2894904922277177,-24.178996373763084,1.7798804813435132,-1.2033982354772514,-0.1627196133304733,-20.001541172420023,-19.964949442900483,128.73565573770492,-1.2908137255078802,0.1967682772117958
A_H1,AUDJPY,BREAKOUT_RETEST,ALL_LOW_VOLATILITY,2023-12-05,2026-09-02,2.74,314,35.03184713375796,14.062354572835417,-42.24930262839286,-0.13455191919870338,0.823211736744078,-1.0133044099912714,-45.355618310980226,1.788483689851631,-1.1714828848630994,-0.13455191919870338,-36.50832799771015,-15.26045538353642,114.45958083832336,-1.6783351150117944,0.09328169659361163
A_H1,AUDJPY,BREAKOUT_RETEST,OOS_TRENDING,2025-09-03,2026-09-10,1.02,84,30.952380952380953,-6.883442740631104,-21.608688906870686,-0.2572462965103653,0.6798752086165827,-1.7044639892943272,-22.548866213874895,1.7650823238940387,-1.1638074022088916,-0.2572462965103653,-20.080023206945896,-19.75431595433608,82.4758064516129,-1.7201415558466808,0.08540671354841733
A_H1,AUDJPY,BREAKOUT_RETEST,ALL_TRENDING,2023-11-29,2026-09-10,2.78,205,35.12195121951219,8.763132364597382,-22.75146273934062,-0.11098274506995424,0.8490422368208891,-0.6758203431286359,-28.53549806644181,1.7772587886274978,-1.133188688124214,-0.11098274506995424,-21.951466078544335,-8.52438470759892,73.69709645669292,-1.127153339719234,0.2596776545421948
A_H1,AUDJPY,BREAKOUT_RETEST,OOS_RANGING,2025-09-01,2026-09-02,1.0,87,42.5287356321839,23.094572459111614,6.617531961724031,0.07606358576694289,1.1106587192088726,0.47540973363760575,-10.523485319909865,1.7951027597424423,-1.1960254029749264,0.07606358576694289,5.827035238805123,5.814753979707543,86.82172131147541,0.47589758367221574,0.6341473437273917
A_H1,AUDJPY,BREAKOUT_RETEST,ALL_RANGING,2023-12-26,2026-09-02,2.68,232,37.5,25.13082082802805,-14.298277193696684,-0.061630505145244326,0.9151392551546397,-0.39974872488482127,-29.16883963492978,1.772330883219728,-1.1620073381642275,-0.061630505145244326,-15.352694715019165,-6.023098744480492,86.4673469387755,-0.6547944846083468,0.5126000821502803
A_H1,AUDJPY,MEAN_REVERSION,ALL,2023-12-28,2026-09-02,2.68,151,47.019867549668874,-8.999999999999854,-33.961008633606845,-0.2249073419444162,0.6345992195236085,-1.6907530149645966,-32.18951463332916,0.8307154628923402,-1.1617725812370374,-0.2249073419444162,-29.35513709166472,-12.171252085539663,56.39340490797546,-2.766651683132899,0.0056635230974166895
A_H1,AUDJPY,MEAN_REVERSION,TRAIN,2023-12-28,2024-10-30,0.84,50,52.0,1.9999999999998894,-6.258776875261109,-0.12517553750522217,0.7770678832020457,-0.9530706484517804,-10.397541221274121,0.8390782062941912,-1.1697837599545864,-0.12517553750522217,-6.307971804994716,-7.4825839262266935,59.681372549019606,-0.872349860188047,0.38301754474107175
A_H1,AUDJPY,MEAN_REVERSION,VALID,2024-11-05,2025-08-19,0.79,48,43.75,-5.999999999999737,-12.628889571792783,-0.2631018660790163,0.587319205924467,-2.060931095702147,-14.028070317569863,0.8558660835957842,-1.133410271381639,-0.2631018660790163,-12.08532847054402,-15.119135485998958,61.08710801393729,-1.826876999646492,0.06771826519594626
